sample_id,fps,frames_received,frames_decoded,frames_dropped,decode_time,bitrate_received,round_trip_time
0,59.00,6.00,6.00,0.00,3.49,0.89,43.00
1,57.00,58.00,58.00,0.00,1.22,2.09,43.00
2,56.00,56.99,56.99,0.00,1.21,2.01,43.00
3,58.00,58.00,58.00,0.00,1.13,2.03,43.00
4,57.00,57.00,57.00,0.00,1.10,1.98,43.00
5,57.00,58.00,58.00,0.00,1.21,2.03,42.00
6,56.00,57.01,57.01,0.00,1.18,2.01,42.00
7,58.00,58.00,58.00,0.00,1.18,2.03,42.00
8,57.00,56.99,56.99,0.00,1.12,1.98,42.00
9,56.00,57.00,57.00,0.00,1.16,2.01,42.00
10,57.00,57.00,57.00,0.00,1.14,1.98,43.00
11,59.00,59.00,59.00,0.00,1.63,4.93,43.00
12,61.00,60.97,60.97,0.00,1.85,6.59,43.00
13,59.00,59.02,59.02,0.00,1.84,6.78,43.00
14,59.00,59.01,59.01,0.00,1.90,6.68,43.00
15,60.00,60.00,60.00,0.00,1.86,6.76,43.00
16,60.00,60.00,60.00,0.00,1.90,6.80,42.00
17,60.00,59.89,59.89,0.00,1.83,6.58,42.00
18,58.00,58.08,58.08,0.00,1.34,3.08,42.00
19,59.00,59.04,59.04,0.00,1.18,2.20,42.00
20,58.00,57.98,57.98,0.00,1.25,2.31,42.00
21,59.00,59.01,59.01,0.00,1.38,3.46,42.00
22,60.00,60.01,60.01,0.00,1.28,2.66,42.00
23,60.00,59.99,59.99,0.00,1.35,2.61,42.00
24,60.00,59.50,59.50,0.00,0.00,8.51,42.00
25,59.00,59.01,59.01,0.00,3.11,14.41,43.00
26,60.00,59.97,59.97,0.00,2.80,12.58,43.00
27,59.00,59.02,59.02,0.00,2.86,14.12,42.00
28,60.00,60.01,60.01,0.00,2.93,14.57,42.00
29,59.00,58.98,58.98,0.00,3.36,16.67,42.00
30,60.00,59.96,59.96,0.00,3.39,16.10,42.00
31,59.00,59.05,59.05,0.00,3.46,16.20,42.00
32,60.00,60.00,60.00,0.00,3.19,14.49,42.00
33,60.00,60.02,60.02,0.00,2.59,11.12,42.00
34,59.00,58.98,58.98,0.00,2.03,7.07,42.00
35,60.00,59.99,59.99,0.00,2.05,6.42,43.00
36,59.00,59.03,59.03,0.00,2.00,6.97,43.00
37,60.00,59.94,59.94,0.00,1.85,5.61,43.00
38,58.00,58.05,58.05,0.00,1.75,5.51,42.00
39,59.00,58.97,58.97,0.00,1.78,5.02,42.00
40,58.00,58.03,58.03,0.00,1.16,1.97,42.00
41,58.00,58.95,58.95,0.00,1.13,1.97,42.00
42,56.00,56.03,56.03,0.00,1.28,1.96,42.00
43,57.00,57.04,57.04,0.00,1.11,1.92,42.00
44,57.00,57.98,57.98,0.00,1.16,1.97,42.00
45,57.00,57.01,57.01,0.00,1.11,1.95,42.00
46,57.00,56.99,56.99,0.00,1.17,1.92,43.00
47,58.00,57.99,57.99,0.00,1.10,1.97,43.00
48,57.00,57.00,57.00,0.00,1.10,1.95,42.00
49,58.00,58.01,58.01,0.00,1.15,1.97,42.00
50,58.00,58.00,58.00,0.00,1.42,4.21,42.00
51,58.00,58.00,58.00,0.00,1.71,4.79,42.00
52,58.00,57.96,57.96,0.00,1.67,4.56,42.00
53,58.00,57.04,57.04,0.00,1.78,4.73,42.00
54,56.00,56.99,56.99,0.00,1.64,4.72,43.00
55,57.00,57.00,57.00,0.00,1.73,4.56,43.00
56,57.00,57.03,57.03,0.00,1.64,4.73,43.00
57,58.00,57.97,57.97,0.00,1.69,4.72,43.00
58,57.00,57.00,57.00,0.00,1.69,4.56,43.00
59,57.00,57.01,57.01,0.00,1.11,1.65,42.00
60,56.00,57.00,57.00,0.00,0.86,0.03,42.00
61,56.00,56.99,56.99,0.00,0.77,0.03,42.00
62,57.00,57.01,57.01,0.00,0.91,0.03,42.00
63,57.00,57.00,57.00,0.00,0.77,0.03,42.00
64,56.00,57.00,57.00,0.00,0.86,0.03,42.00
65,58.00,58.99,58.99,0.00,0.79,0.03,42.00
66,56.00,55.97,55.97,0.00,0.80,0.03,42.00
67,58.00,58.04,58.04,0.00,0.82,0.03,43.00
68,57.00,56.99,56.99,0.00,0.77,0.03,43.00
69,57.00,56.99,56.99,0.00,0.88,0.03,43.00
70,59.00,60.02,60.02,0.00,0.78,0.03,42.00
71,58.00,57.99,57.99,0.00,1.56,5.14,42.00
72,60.00,60.99,60.99,0.00,1.85,7.71,42.00
73,59.00,58.99,58.99,0.00,2.02,8.37,42.00
74,59.00,59.03,59.03,0.00,1.69,5.98,42.00
75,58.00,58.98,58.98,0.00,1.63,5.41,43.00
76,60.00,59.99,59.99,0.00,2.32,10.92,43.00
77,58.00,59.52,59.52,0.00,2.60,12.68,43.00
78,60.00,60.00,60.00,0.00,2.05,8.48,42.00
79,60.00,59.50,59.50,0.00,1.24,1.58,42.00
80,59.00,59.49,59.49,0.00,1.45,3.62,42.00
81,59.00,57.75,57.75,0.00,0.00,2.60,42.00
82,56.00,56.00,56.00,0.00,1.23,1.58,42.00
83,58.00,58.01,58.01,0.00,1.22,1.54,43.00
84,60.00,59.99,59.99,0.00,1.26,1.59,43.00
85,60.00,60.00,60.00,0.00,1.18,1.59,43.00
86,59.00,59.00,59.00,0.00,1.19,1.56,43.00
87,60.00,59.98,59.98,0.00,1.38,3.31,43.00
88,59.00,59.02,59.02,0.00,3.04,13.13,42.00
89,60.00,60.01,60.01,0.00,2.84,12.60,42.00
90,59.00,59.01,59.01,0.00,2.86,12.55,42.00
91,60.00,60.00,60.00,0.00,3.07,13.72,42.00
92,60.00,60.00,60.00,0.00,3.11,13.76,42.00
93,58.00,57.99,57.99,0.00,2.56,9.62,43.00
94,59.00,59.01,59.01,0.00,3.45,14.41,43.00
95,60.00,60.00,60.00,0.00,3.14,11.65,43.00
96,59.00,58.98,58.98,0.00,2.85,10.82,43.00
97,60.00,60.02,60.02,0.00,2.89,11.13,43.00
98,59.00,59.00,59.00,0.00,2.84,11.12,43.00
99,60.00,60.67,60.67,0.00,2.99,11.10,42.00
100,59.00,58.31,58.31,0.00,2.86,10.99,42.00
101,60.00,59.99,59.99,0.00,2.85,10.94,42.00
102,60.00,60.01,60.01,0.00,2.85,11.12,42.00
103,59.00,58.99,58.99,0.00,2.79,11.13,42.00
104,60.00,60.02,60.02,0.00,2.86,11.13,42.00
105,59.00,58.99,58.99,0.00,4.23,16.49,42.00
106,60.00,60.01,60.01,0.00,3.42,14.31,42.00
107,59.00,59.00,59.00,0.00,2.87,11.00,43.00
108,59.00,59.99,59.99,0.00,2.90,11.23,43.00
109,59.00,59.00,59.00,0.00,2.83,11.11,42.00
110,60.00,59.99,59.99,0.00,2.97,11.12,42.00
111,59.00,58.99,58.99,0.00,2.88,10.88,42.00
112,60.00,60.01,60.01,0.00,2.99,11.12,42.00
113,59.00,59.01,59.01,0.00,2.83,11.08,42.00
114,60.00,59.98,59.98,0.00,2.89,11.13,43.00
115,60.00,60.03,60.03,0.00,2.95,11.11,43.00
116,59.00,58.99,58.99,0.00,2.84,10.75,43.00
117,60.00,59.99,59.99,0.00,3.07,12.30,43.00
118,59.00,58.99,58.99,0.00,4.42,18.10,43.00
119,60.00,59.52,59.52,0.00,2.99,11.65,42.00
120,60.00,59.49,59.49,0.00,3.06,11.11,42.00
121,59.00,59.50,59.50,0.00,3.03,11.21,42.00
122,59.00,59.49,59.49,0.00,2.96,10.99,43.00
123,59.00,59.51,59.51,0.00,2.94,11.16,43.00
124,60.00,60.00,60.00,0.00,3.95,15.21,42.00
125,60.00,59.50,59.50,0.00,3.17,13.15,42.00
126,60.00,59.50,59.50,0.00,2.90,11.19,42.00
127,59.00,59.50,59.50,0.00,2.90,11.31,43.00
128,59.00,59.50,59.50,0.00,3.04,10.97,43.00
129,59.00,59.51,59.51,0.00,2.95,11.13,43.00
130,60.00,59.96,59.96,0.00,2.94,11.10,42.00
131,59.00,59.03,59.03,0.00,3.86,14.78,42.00
132,58.00,58.50,58.50,0.00,3.95,15.27,42.00
133,58.00,58.50,58.50,0.00,2.84,10.42,42.00
134,59.00,58.99,58.99,0.00,2.89,10.50,42.00
135,59.00,59.50,59.50,0.00,2.86,10.63,43.00
136,59.00,58.99,58.99,0.00,2.79,10.26,42.00
137,60.00,60.07,60.07,0.00,2.85,10.41,42.00
138,58.00,57.46,57.46,0.00,2.82,9.91,42.00
139,59.00,59.01,59.01,0.00,5.00,20.12,42.00
